iter	Passed	Remaining
0	94	47053
1	196	48828
2	297	49211
3	449	55711
4	600	59412
5	700	57699
6	799	56334
7	896	55128
8	997	54421
9	1097	53792
10	1197	53215
11	1295	52698
12	1395	52272
13	1493	51839
14	1591	51452
15	1690	51137
16	1786	50745
17	1889	50587
18	1987	50304
19	2091	50186
20	2198	50152
21	2319	50386
22	2418	50148
23	2518	49959
24	2617	49732
25	2774	50575
26	2877	50408
27	2973	50131
28	3073	49922
29	3181	49838
30	3286	49720
31	3389	49572
32	3492	49425
33	3592	49232
34	3693	49076
35	3801	48994
36	3924	49105
37	4027	48966
38	4150	49066
39	4253	48909
40	4363	48852
41	4489	48956
42	4601	48903
43	4711	48832
44	4836	48901
45	5018	49532
46	5134	49483
47	5246	49402
48	5355	49294
49	5463	49174
50	5585	49175
51	5694	49057
52	5799	48911
53	5946	49115
54	6062	49052
55	6168	48910
56	6276	48778
57	6381	48628
58	6487	48489
59	6610	48474
60	6669	47997
61	6782	47914
62	6905	47901
63	7026	47866
64	7210	48255
65	7386	48572
66	7522	48618
67	7695	48886
68	7809	48778
69	7921	48662
70	8025	48493
71	8144	48414
72	8258	48304
73	8365	48157
74	8477	48041
75	8587	47911
76	8692	47751
77	8798	47604
78	8916	47519
79	9026	47388
80	9132	47243
81	9232	47060
82	9387	47164
83	9493	47015
84	9601	46875
85	9709	46740
86	9820	46617
87	9927	46478
88	10029	46314
89	10134	46166
90	10234	46000
91	10358	45935
92	10468	45815
93	10577	45686
94	10684	45547
95	10796	45433
96	10903	45301
97	11015	45185
98	11127	45070
99	11233	44932
100	11344	44818
101	11460	44718
102	11617	44778
103	11729	44661
104	11836	44525
105	11949	44415
106	12054	44274
107	12172	44181
108	12281	44056
109	12389	43927
110	12499	43805
111	12631	43759
112	12740	43632
113	12848	43504
114	12957	43379
115	13066	43254
116	13178	43138
117	13289	43020
118	13396	42891
119	13500	42751
120	13602	42606
121	13757	42625
122	13868	42506
123	13975	42378
124	14083	42251
125	14199	42146
126	14325	42074
127	14426	41926
128	14533	41797
129	14633	41649
130	14742	41527
131	14846	41389
132	14951	41257
133	15057	41126
134	15171	41018
135	15277	40888
136	15378	40747
137	15484	40619
138	15595	40504
139	15707	40390
140	15810	40254
141	15966	40254
142	16078	40138
143	16184	40012
144	16312	39937
145	16430	39838
146	16548	39738
147	16661	39628
148	16775	39519
149	16885	39399
150	17001	39294
151	17109	39171
152	17214	39041
153	17332	38941
154	17451	38843
155	17559	38721
156	17671	38606
157	17778	38482
158	17897	38384
159	17997	38245
160	18164	38246
161	18272	38124
162	18375	37991
163	18488	37879
164	18596	37756
165	18703	37631
166	18815	37518
167	18920	37390
168	19026	37265
169	19132	37139
170	19240	37018
171	19363	36925
172	19477	36815
173	19584	36692
174	19685	36558
175	19794	36440
176	19901	36317
177	20022	36221
178	20124	36089
179	20224	35955
180	20416	35983
181	20519	35853
182	20625	35728
183	20763	35658
184	20878	35549
185	20993	35441
186	21097	35312
187	21197	35178
188	21313	35071
189	21430	34965
190	21544	34853
191	21653	34735
192	21762	34617
193	21876	34505
194	21994	34401
195	22107	34289
196	22210	34161
197	22315	34036
198	22423	33916
199	22590	33885
200	22692	33756
201	22796	33631
202	22910	33519
203	23030	33417
204	23139	33297
205	23262	33199
206	23366	33073
207	23467	32944
208	23578	32828
209	23684	32707
210	23789	32583
211	23906	32477
212	24034	32384
213	24165	32295
214	24285	32192
215	24425	32114
216	24539	32002
217	24664	31905
218	24827	31856
219	24933	31733
220	25039	31610
221	25141	31482
222	25244	31357
223	25342	31226
224	25444	31099
225	25542	30967
226	25649	30847
227	25754	30724
228	25874	30620
229	25974	30492
230	26075	30365
231	26174	30235
232	26277	30111
233	26376	29984
234	26480	29860
235	26580	29733
236	26682	29609
237	26802	29505
238	26949	29430
239	27052	29307
240	27154	29182
241	27261	29063
242	27361	28938
243	27463	28814
244	27563	28688
245	27662	28562
246	27767	28442
247	27870	28320
248	27970	28195
249	28081	28081
250	28180	27956
251	28285	27836
